logz logzerr logvol nlive logl logwt insert_order
-2.543981453678332036e+05 2.758254341415972704e+03 -2.075000000000001288e-01 4.000000000000000000e+02 -2.535250606436351663e+05 -2.535312608579218504e+05 nan
-2.535312608579218504e+05 2.118307880916825525e+03 -2.100000000000001310e-01 4.000000000000000000e+02 -2.528443755250113318e+05 -2.528505782392980182e+05 nan
-2.528505782392980182e+05 4.605720428896746057e+02 -2.125000000000001332e-01 4.000000000000000000e+02 -2.527717924632216163e+05 -2.527779976775083051e+05 nan
-2.527779976775083051e+05 4.446799069236710125e+02 -2.150000000000001354e-01 4.000000000000000000e+02 -2.523432881675248500e+05 -2.523494958818115410e+05 nan
-2.523494958818115410e+05 2.108835716051479210e+02 -2.175000000000001377e-01 4.000000000000000000e+02 -2.518050099788451917e+05 -2.518112201931318850e+05 nan
-2.518112201931318850e+05 4.141758577022894201e+02 -2.200000000000001399e-01 4.000000000000000000e+02 -2.505167489953718032e+05 -2.505229617096584989e+05 nan
-2.505229617096584989e+05 8.701944396823917032e+02 -2.225000000000001421e-01 4.000000000000000000e+02 -2.497513762508837972e+05 -2.497575914651704952e+05 nan
-2.497575914651704952e+05 7.341995529462161585e+02 -2.250000000000001443e-01 4.000000000000000000e+02 -2.497474370067134441e+05 -2.497536547210001445e+05 nan
-2.497536353972737561e+05 7.354198961113889936e+02 -2.275000000000001465e-01 4.000000000000000000e+02 -2.493325077140384819e+05 -2.493387279283251846e+05 nan
-2.493387279283251846e+05 8.203122565647269084e+02 -2.300000000000001488e-01 4.000000000000000000e+02 -2.489570863775035250e+05 -2.489633090917902300e+05 nan
-2.489633090917902300e+05 1.035711637051053913e+02 -2.325000000000001510e-01 4.000000000000000000e+02 -2.487975060047190636e+05 -2.488037312190057419e+05 nan
-2.488037312190057419e+05 1.516385860812189321e+02 -2.350000000000001532e-01 4.000000000000000000e+02 -2.473224547715902154e+05 -2.473286824858768960e+05 nan
-2.473286824858768960e+05 6.390035866289612159e+02 -2.375000000000001554e-01 4.000000000000000000e+02 -2.456502942990638549e+05 -2.456565245133505377e+05 nan
-2.456565245133505377e+05 9.473819587119317021e+02 -2.400000000000001577e-01 4.000000000000000000e+02 -2.445565327262642677e+05 -2.445627654405509529e+05 nan
-2.445627654405509529e+05 1.222968137281146062e+00 -2.425000000000001599e-01 4.000000000000000000e+02 -2.437364286697028438e+05 -2.437426638839895313e+05 nan
-2.437426638839895313e+05 3.862044527358282267e+02 -2.450000000000001621e-01 4.000000000000000000e+02 -2.417362900610692159e+05 -2.417425277753559058e+05 nan
-2.417425277753559058e+05 1.255871601516129431e+03 -2.475000000000001643e-01 4.000000000000000000e+02 -2.415956678149086074e+05 -2.416019080291952996e+05 nan
-2.416019080291952996e+05 1.051180952202449134e+03 -2.500000000000001665e-01 4.000000000000000000e+02 -2.410087986676521541e+05 -2.410150413819388486e+05 nan
-2.410150413819388486e+05 2.765849878440196790e+02 -2.525000000000001688e-01 4.000000000000000000e+02 -2.409628571608228958e+05 -2.409691023751095927e+05 nan
-2.409691023751095927e+05 2.331115088888169566e+02 -2.550000000000001710e-01 4.000000000000000000e+02 -2.402982839618781290e+05 -2.403045316761648282e+05 nan
-2.403045316761648282e+05 4.189770675466855323e+02 -2.575000000000001732e-01 4.000000000000000000e+02 -2.395375608387487009e+05 -2.395438110530354024e+05 nan
-2.395438110530354024e+05 6.905505259861482728e+02 -2.600000000000001754e-01 4.000000000000000000e+02 -2.391562576526603370e+05 -2.391625103669470409e+05 nan
-2.391625103669470409e+05 4.252982608621330201e+02 -2.625000000000001776e-01 4.000000000000000000e+02 -2.378350333529670024e+05 -2.378412885672536795e+05 nan
-2.378412885672536795e+05 6.222767595919483483e+02 -2.650000000000001799e-01 4.000000000000000000e+02 -2.374876148474979273e+05 -2.374938725617846067e+05 nan
-2.374938725617846067e+05 5.904626230732629892e+02 -2.675000000000001821e-01 4.000000000000000000e+02 -2.372223842948727543e+05 -2.372286445091594360e+05 nan
-2.372286445091594360e+05 5.370699792238704049e+02 -2.700000000000001843e-01 4.000000000000000000e+02 -2.361931244673514157e+05 -2.361993871816380997e+05 nan
-2.361993871816380997e+05 6.092350875315879648e+02 -2.725000000000001865e-01 4.000000000000000000e+02 -2.361918124912676285e+05 -2.361980777055543149e+05 nan
-2.361978387190034846e+05 5.206437139884400267e+02 -2.750000000000001887e-01 4.000000000000000000e+02 -2.354671067968684656e+05 -2.354733745111551543e+05 nan
-2.354733745111551543e+05 6.482905407402608944e+02 -2.775000000000001910e-01 4.000000000000000000e+02 -2.348135798983991554e+05 -2.348198501126858464e+05 nan
-2.348198501126858464e+05 5.188005073896010799e+02 -2.800000000000001932e-01 4.000000000000000000e+02 -2.345404512564050092e+05 -2.345467239706917026e+05 nan
-2.345467239706917026e+05 2.603370795647491036e+02 -2.825000000000001954e-01 4.000000000000000000e+02 -2.344500659807778720e+05 -2.344563411950645677e+05 nan
-2.344563411950645677e+05 1.308171933191191840e+02 -2.850000000000001976e-01 4.000000000000000000e+02 -2.338619587057013705e+05 -2.338682364199880685e+05 nan
-2.338682364199880685e+05 2.549563300244993513e+02 -2.875000000000001998e-01 4.000000000000000000e+02 -2.337589649497709761e+05 -2.337652451640576764e+05 nan
-2.337652451640576764e+05 4.411127981827422673e+01 -2.900000000000002021e-01 4.000000000000000000e+02 -2.337260174632413255e+05 -2.337323001775280281e+05 nan
-2.337323001775280281e+05 5.754949959390605585e+01 -2.925000000000002043e-01 4.000000000000000000e+02 -2.334224828823808639e+05 -2.334287680966675689e+05 nan
-2.334287680966675689e+05 1.625150514378879052e+02 -2.950000000000002065e-01 4.000000000000000000e+02 -2.333117299587906746e+05 -2.333180176730773528e+05 nan
-2.333180176730773528e+05 1.148034890910490873e+02 -2.975000000000002087e-01 4.000000000000000000e+02 -2.321177257697717287e+05 -2.321240159840584092e+05 nan
-2.321240159840584092e+05 6.441429682209154635e+02 -3.000000000000002109e-01 4.000000000000000000e+02 -2.314457107541771256e+05 -2.314520034684638085e+05 nan
-2.314520034684638085e+05 7.846962525467114347e+02 -3.025000000000002132e-01 4.000000000000000000e+02 -2.312379477191104670e+05 -2.312442429333971522e+05 nan
-2.312442429333971522e+05 7.767248357430028705e+01 -3.050000000000002154e-01 4.000000000000000000e+02 -2.311805861486941576e+05 -2.311868838629808452e+05 nan
-2.311868838629808452e+05 1.569512182873483042e+01 -3.075000000000002176e-01 4.000000000000000000e+02 -2.305937074737398070e+05 -2.306000076880264969e+05 nan
-2.306000076880264969e+05 2.540571792589934148e+02 -3.100000000000002198e-01 4.000000000000000000e+02 -2.299034058933216147e+05 -2.299097086076083069e+05 nan
-2.299097086076083069e+05 2.988354073524090495e+02 -3.125000000000002220e-01 4.000000000000000000e+02 -2.285041681926941965e+05 -2.285104734069808910e+05 nan
-2.285104734069808910e+05 7.799583823021969238e+02 -3.150000000000002243e-01 4.000000000000000000e+02 -2.266695450770985917e+05 -2.266758527913852886e+05 nan
-2.266758527913852886e+05 1.508570704622264429e+03 -3.175000000000002265e-01 4.000000000000000000e+02 -2.264035740333880531e+05 -2.264098842476747523e+05 nan
-2.264098842476747523e+05 1.332652494628584066e+02 -3.200000000000002287e-01 4.000000000000000000e+02 -2.261200664312308945e+05 -2.261263791455175960e+05 nan
-2.261263791455175960e+05 2.286589697584553846e+02 -3.225000000000002309e-01 4.000000000000000000e+02 -2.258761739052004123e+05 -2.258824891194871161e+05 nan
-2.258824891194871161e+05 1.609250414420368145e+02 -3.250000000000002331e-01 4.000000000000000000e+02 -2.250988837574165955e+05 -2.251052014717032725e+05 nan
-2.251052014717032725e+05 3.658461370676214415e+02 -3.275000000000002354e-01 4.000000000000000000e+02 -2.236722018299100455e+05 -2.236785220441967249e+05 nan
-2.236785220441967249e+05 8.912150130836679409e+02 -3.300000000000002376e-01 4.000000000000000000e+02 -2.236689062684636447e+05 -2.236752289827503264e+05 nan
-2.236751925158512604e+05 8.853929047392116445e+02 -3.325000000000002398e-01 4.000000000000000000e+02 -2.234964178333033924e+05 -2.235027430475900765e+05 nan
-2.235027430475900765e+05 6.415606468827751030e+01 -3.350000000000002420e-01 4.000000000000000000e+02 -2.232034466631047544e+05 -2.232097743773914408e+05 nan
-2.232097743773914408e+05 1.642150731469239702e+02 -3.375000000000002442e-01 4.000000000000000000e+02 -2.225908428720643569e+05 -2.225971730863510456e+05 nan
-2.225971730863510456e+05 1.689847574961006558e+02 -3.400000000000002465e-01 4.000000000000000000e+02 -2.224270784855262027e+05 -2.224334111998128938e+05 nan
-2.224334111998128938e+05 7.837380054975697874e+01 -3.425000000000002487e-01 4.000000000000000000e+02 -2.217129922226077470e+05 -2.217193274368944403e+05 nan
-2.217193274368944403e+05 3.591774086011902796e+02 -3.450000000000002509e-01 4.000000000000000000e+02 -2.214951685943102639e+05 -2.215015063085969596e+05 nan
-2.215015063085969596e+05 3.361916793791715463e+02 -3.475000000000002531e-01 4.000000000000000000e+02 -2.204698667865348398e+05 -2.204762070008215378e+05 nan
-2.204762070008215378e+05 5.113607203952807367e+02 -3.500000000000002554e-01 4.000000000000000000e+02 -2.204245691535817750e+05 -2.204309118678684754e+05 nan
-2.204309118678684754e+05 5.331047279465703923e+02 -3.525000000000002576e-01 4.000000000000000000e+02 -2.203814582663379842e+05 -2.203878034806246869e+05 nan
-2.203878034806246869e+05 4.548102677496126489e+02 -3.550000000000002598e-01 4.000000000000000000e+02 -2.196979647440935660e+05 -2.197043124583802710e+05 nan
-2.197043124583802710e+05 3.369457044707178284e+02 -3.575000000000002620e-01 4.000000000000000000e+02 -2.188363271400690428e+05 -2.188426773543557210e+05 nan
