gamma delta nu_max
3.453375844125716743e-01 2.844512906140936437e+00 6.036747694987354151e+01
5.165789627532424433e-01 3.973971313108440651e+00 6.107029568725657498e+01
4.261849937553758849e-01 3.548445637555793564e+00 6.081192908411343012e+01
4.741837833172872774e-01 3.506600064105314551e+00 1.051978495542567629e+02
5.204102264581549342e-01 4.028895514489140517e+00 2.907766370268175393e+01
4.962069337266887814e-01 3.710480147539084506e+00 7.617554067557163933e+01
4.266254122987902520e-01 3.481553542879900487e+00 2.358087261399860779e+01
5.496856879793483586e-01 4.101023548800574403e+00 3.971509344758285920e+01
3.934254699758577001e-01 2.938651301754974909e+00 3.821855761920637917e+01
4.711117009526657462e-01 3.704963251683205172e+00 8.570386940158552136e+01
5.060481700202669186e-01 3.736749803516676405e+00 8.323304157766904154e+01
4.592197691459212194e-01 3.572153086640039721e+00 7.502509210280753393e+01
5.060481700202669186e-01 3.736749803516676405e+00 8.323304157766904154e+01
3.844962292078268895e-01 3.335445752408253917e+00 6.300813386033191676e+01
3.843551129918645337e-01 3.353657091353889008e+00 5.590902941441203922e+01
4.762753700192874362e-01 3.707500363893804440e+00 8.913207753052432736e+00
5.223470851541077709e-01 3.895970711398678343e+00 8.665297988423270681e+01
4.387766295301842590e-01 2.996516489380047332e+00 3.610329812668155824e+01
4.105246364542629589e-01 3.347870611590316070e+00 7.174820003358436793e+01
5.144570112146744645e-01 3.808413417168097226e+00 1.011345497582433381e+02
5.072123148487158728e-01 3.848267319591865299e+00 7.065708235598772546e+01
4.581723263126828982e-01 3.242083351460395058e+00 4.344695687148164609e+01
5.039102508611262854e-01 4.024655898634748930e+00 1.641414960650659083e+01
4.686293278621038727e-01 3.497196094003523825e+00 8.955472156505896919e+01
5.260900349344841409e-01 4.052926514933676394e+00 3.679126841233943424e+01
4.670291902074217294e-01 3.651941217832187725e+00 9.231801909959143870e+01
5.027281825317424513e-01 3.720133003051824261e+00 5.772850584331490609e+01
3.755563893938860254e-01 2.643518264705789100e+00 1.057029830579897833e+01
4.686211200212231365e-01 3.962141324225494809e+00 2.155926976626678027e+01
4.359088366301406836e-01 3.349839918129291938e+00 4.705754928388901703e+01
4.797329832923695747e-01 3.793787128965508959e+00 4.570147465364384232e+01
4.359088366301406836e-01 3.349839918129291938e+00 4.705754928388901703e+01
4.271184973286314968e-01 3.144212540158343394e+00 9.007525772747726478e+01
4.592197691459212194e-01 3.572153086640039721e+00 7.502509210280753393e+01
4.932233952632028018e-01 3.716784850137837104e+00 6.966466935192124765e+01
